list_name,familia,name,label
genero,Rubiaceae,Chiococca,<span>_Chiococca_</span>
genero,Oleaceae,Chionanthus,<span>_Chionanthus_</span>
genero,Asteraceae,Chionolaena,<span>_Chionolaena_</span>
genero,Euphorbiaceae,Chiropetalum,<span>_Chiropetalum_</span>
genero,Poaceae,Chloris,<span>_Chloris_</span>
genero,Fabaceae,Chloroleucon,<span>_Chloroleucon_</span>
genero,Rubiaceae,Chomelia,<span>_Chomelia_</span>
genero,Menispermaceae,Chondrodendron,<span>_Chondrodendron_</span>
genero,Asteraceae,Chresta,<span>_Chresta_</span>
genero,Orchidaceae,Christensonella,<span>_Christensonella_</span>
genero,Malpighiaceae,Christianella,<span>_Christianella_</span>
genero,Asteraceae,Chromolaena,<span>_Chromolaena_</span>
genero,Asteraceae,Chronopappus,<span>_Chronopappus_</span>
genero,Asteraceae,Chrysanthellum,<span>_Chrysanthellum_</span>
genero,Asteraceae,Chrysolaena,<span>_Chrysolaena_</span>
genero,Sapotaceae,Chrysophyllum,<span>_Chrysophyllum_</span>
genero,Poaceae,Chusquea,<span>_Chusquea_</span>
genero,Malvaceae,Cienfuegosia,<span>_Cienfuegosia_</span>
genero,Canellaceae,Cinnamodendron,<span>_Cinnamodendron_</span>
genero,Lauraceae,Cinnamomum,<span>_Cinnamomum_</span>
genero,Cactaceae,Cipocereus,<span>_Cipocereus_</span>
genero,Podostemaceae,Cipoia,<span>_Cipoia_</span>
genero,Iridaceae,Cipura,<span>_Cipura_</span>
genero,Orchidaceae,Cirrhaea,<span>_Cirrhaea_</span>
genero,Asteraceae,Cirsium,<span>_Cirsium_</span>
genero,Menispermaceae,Cissampelos,<span>_Cissampelos_</span>
genero,Vitaceae,Cissus,<span>_Cissus_</span>
genero,Verbenaceae,Citharexylum,<span>_Citharexylum_</span>
genero,Cardiopteridaceae,Citronella,<span>_Citronella_</span>
genero,Rutaceae,Citrus,<span>_Citrus_</span>
genero,Moraceae,Clarisia,<span>_Clarisia_</span>
genero,Primulaceae,Clavija,<span>_Clavija_</span>
genero,Orchidaceae,Cleistes,<span>_Cleistes_</span>
genero,Vitaceae,Clematicissus,<span>_Clematicissus_</span>
genero,Ranunculaceae,Clematis,<span>_Clematis_</span>
genero,Fabaceae,Cleobulia,<span>_Cleobulia_</span>
genero,Cleomaceae,Cleoserrata,<span>_Cleoserrata_</span>
genero,Clethraceae,Clethra,<span>_Clethra_</span>
genero,Asteraceae,Clibadium,<span>_Clibadium_</span>
genero,Melastomataceae,Clidemia,<span>_Clidemia_</span>
genero,Acanthaceae,Clistax,<span>_Clistax_</span>
genero,Fabaceae,Clitoria,<span>_Clitoria_</span>
genero,Clusiaceae,Clusia,<span>_Clusia_</span>
genero,Euphorbiaceae,Cnidoscolus,<span>_Cnidoscolus_</span>
genero,Polemoniaceae,Cobaea,<span>_Cobaea_</span>
genero,Rubiaceae,Coccocypselum,<span>_Coccocypselum_</span>
genero,Polygonaceae,Coccoloba,<span>_Coccoloba_</span>
genero,Orchidaceae,Cochleanthes,<span>_Cochleanthes_</span>
genero,Fabaceae,Cochliasanthus,<span>_Cochliasanthus_</span>
genero,Bixaceae,Cochlospermum,<span>_Cochlospermum_</span>
genero,Gesneriaceae,Codonanthe,<span>_Codonanthe_</span>
genero,Orchidaceae,Coelogyne,<span>_Coelogyne_</span>
genero,Rubiaceae,Coffea,<span>_Coffea_</span>
genero,Poaceae,Coix,<span>_Coix_</span>
genero,Poaceae,Colanthelia,<span>_Colanthelia_</span>
genero,Cactaceae,Coleocephalocereus,<span>_Coleocephalocereus_</span>
genero,Capparaceae,Colicodendron,<span>_Colicodendron_</span>
genero,Fabaceae,Collaea,<span>_Collaea_</span>
genero,Asteraceae,Cololobus,<span>_Cololobus_</span>
genero,Rhamnaceae,Colubrina,<span>_Colubrina_</span>
genero,Eriocaulaceae,Comanthera,<span>_Comanthera_</span>
genero,Combretaceae,Combretum,<span>_Combretum_</span>
genero,Commelinaceae,Commelina,<span>_Commelina_</span>
genero,Burseraceae,Commiphora,<span>_Commiphora_</span>
genero,Orchidaceae,Comparettia,<span>_Comparettia_</span>
genero,Rutaceae,Conchocarpus,<span>_Conchocarpus_</span>
genero,Rubiaceae,Condaminea,<span>_Condaminea_</span>
genero,Lamiaceae,Condea,<span>_Condea_</span>
genero,Apocynaceae,Condylocarpon,<span>_Condylocarpon_</span>
genero,Fabaceae,Condylostylis,<span>_Condylostylis_</span>
genero,Apiaceae,Conium,<span>_Conium_</span>
genero,Connaraceae,Connarus,<span>_Connarus_</span>
genero,Plantaginaceae,Conobea,<span>_Conobea_</span>
genero,Orchidaceae,Constantia,<span>_Constantia_</span>
genero,Convolvulaceae,Convolvulus,<span>_Convolvulus_</span>
genero,Asteraceae,Conyza,<span>_Conyza_</span>
genero,Fabaceae,Copaifera,<span>_Copaifera_</span>
genero,Malvaceae,Corchorus,<span>_Corchorus_</span>
