"Specie","Author1","Author2"
"Canavalia piperi","Killip & J.F. Macbr.",NA
"Guianodendron",NA,NA
"Guianodendron praeclarum","(Sandwith) Sch.Rodr. & A.M.G.Azevedo",NA
"Canavalia gladiata","(Jacq.) DC.",NA
"Libidibia ferrea var. leiostachya","(Mart. ex Tul.) L.P.Queiroz","(Benth.) L.P.Queiroz"
"Pomaria rubicunda var. rubicunda","(Vogel) B.B.Simpson & G.P.Lewis",NA
"Pomaria rubicunda var. hauthalii","(Vogel) B.B.Simpson & G.P.Lewis","(Harms) B.B.Simpson & G.P.Lewis"
"Arachis microsperma","Krapov. et al.",NA
"Arachis appressipila","Krapov. & W.C.Greg.",NA
"Arachis diogoi","Hoehne",NA
"Arachis glandulifera","Stalker",NA
"Arachis gregoryi","C.E.Simpson et al.",NA
"Arachis helodes","Mart. ex Krapov. & Rigoni",NA
"Arachis hoehnei","Krapov. & W.C.Greg.",NA
"Arachis interrupta","Valls & C.E.Simpson",NA
"Arachis kretschmeri","Krapov. & W.C.Greg.",NA
"Arachis lignosa","(Chodat & Hassl.) Krapov. & W.C.Greg.",NA
"Arachis linearifolia","Valls et al.",NA
"Arachis magna","Krapov. et al.",NA
"Arachis nitida","Valls et al.",NA
"Arachis pflugeae","C.E.Simpson et al.",NA
"Arachis porphyrocalyx","Valls & C.E.Simpson",NA
"Arachis pseudovillosa","(Chodat & Hassl.) Krapov. & W.C.Greg.",NA
"Arachis seridoensis","Valls et al.",NA
"Arachis submarginata","Valls et al.",NA
"Arachis valida","Krapov. & W.C.Greg.",NA
"Arachis vallsii","Krapov. & W.C.Greg.",NA
"Arachis villosa","Benth.",NA
"Arachis villosulicarpa","Hoehne",NA
"Glycyrrhiza",NA,NA
"Calliandra geraisensis","E.R.Souza & L.P.Queiroz",NA
"Calliandra imbricata","E.R.Souza & L.P.Queiroz",NA
"Aeschynomene laca-buendiana","Brandão",NA
"Aeschynomene sabulicola","L.P.Queiroz & D.B.O.S.Cardoso",NA
"Stylosanthes macrosoma","S.F.Blake",NA
"Bauhinia forficata subsp. pruinosa","Link","(Vogel) Fortunato & Wunderlin"
"Bauhinia hagenbeckii","Harms",NA
"Bauhinia forficata subsp. forficata","Link",NA
"Bauhinia vespertilio","S.Moore",NA
"Microlobius",NA,NA
"Microlobius foetidus","(Jacq.) M.Sousa & G.Andrade",NA
"Bauhinia holophylla","(Bong.) Steud.",NA
"Collaea aschersoniana","(Taub.) Burkart",NA
"Mimosa invisa var. macrostachya","Mart. ex Colla","(Benth.) Barneby"
"Mimosa somnians var. lupulina","Humb. & Bonpl. ex Willd.","(Benth.) Barneby"
"Mimosa somnians var. aquatica","Humb. & Bonpl. ex Willd.","Barneby"
"Mimosa somnians var. velascoënsis","Humb. & Bonpl. ex Willd.","(Harms) Barneby"
"Mimosa somnians var. longipes","Humb. & Bonpl. ex Willd.","(Barneby) Barneby"
"Mimosa somnians var. possensis","Humb. & Bonpl. ex Willd.","Barneby"
"Mimosa distans var. distans","Benth.",NA
"Mimosa distans var. neuroloma","Benth.","(Benth.) Barneby"
"Mimosa distans var. elongata","Benth.","(Benth.) Barneby"
"Mimosa distans var. planaltinae","Benth.","Barneby"
"Mimosa distans var. paraguariensis","Benth.","Barneby"
"Mimosa distans var. quadripinna","Benth.","Barneby"
"Mimosa distans var. terezinae","Benth.","Barneby"
"Mimosa dolens var. rudis","Vell.","(Benth.) Barneby"
"Mimosa dolens var. latifolia","Vell.","(Benth.) Barneby"
"Mimosa dolens var. uncta","Vell.","Barneby"
"Eriosema campestre var. delicatula","Benth.","Fortunato"
"Mimosa dolens var. pubescens","Vell.","(Benth.) Barneby"
"Mimosa dolens var. rigescens","Vell.","(Benth.) Barneby"
"Mimosa dolens var. foliolosa","Vell.","(Benth.) Barneby"
"Mimosa dolens var. anisitsii","Vell.","(Lindm.) Barneby"
"Mimosa dolens subsp. eriophylla","Vell.","(Benth.) Barneby"
"Mimosa dolens subsp. callosa","Vell.","(Benth.) Barneby"
"Mimosa dolens var. pangloea","Vell.","Barneby"
"Mimosa dryandroides var. dryandroides","Taub.",NA
"Mimosa dryandroides var. extratropica","Taub.","Barneby"
"Mimosa foliolosa var. pubescens","Benth.","Benth."
"Mimosa foliolosa var. foliolosa","Benth.",NA
"Mimosa foliolosa var. brevipinna","Benth.","(Benth.) Barneby"
"Mimosa foliolosa var. corpulenta","Benth.","Barneby"
"Mimosa foliolosa var. multipinna","Benth.","(Benth.) Barneby"
"Mimosa foliolosa var. cercadoensis","Benth.","Barneby"
"Mimosa foliolosa var. foederalis","Benth.","Barneby"
"Mimosa foliolosa var. gravida","Benth.","Barneby"
"Mimosa foliolosa var. peregrina","Benth.","Barneby"
"Mimosa foliolosa var. paranani","Benth.","Barneby"
"Mimosa foliolosa var. antana","Benth.","Barneby"
"Mimosa foliolosa var. rigens","Benth.","Barneby"
"Mimosa gracilis var. invisiformis","Benth.","Barneby"
"Mimosa gracilis var. gracilis","Benth.",NA
"Mimosa gracilis var. brevissima","Benth.","Barneby"
"Mimosa gracilis var. filiformis","Benth.","(Benth.) Barneby"
"Mimosa gracilis var. longipes","Benth.","Barneby"
"Mimosa gracilis var. leiocarpa","Benth.","(Burkart) Barneby"
"Mimosa insidiosa var. major","Benth.","Benth."
"Mimosa monticola var. monticola","Dusén",NA
"Mimosa xanthocentra var. longepetiolata","Mart.","(Malme) Barneby"
"Mimosa xanthocentra var. exilis","Mart.","Barneby"
"Mimosa xanthocentra var. miseranda","Mart.","Barneby"
"Mimosa xanthocentra var. tremula","Mart.","(Benth.) Barneby"
"Mimosa xanthocentra var. tenuis","Mart.","(Benth.) Barneby"
"Mimosa sparsa","Benth.",NA
"Mimosa paupera","Benth.",NA
"Mimosa paupera var. paupera","Benth.",NA
"Mimosa paupera var. dives","Benth.","Barneby"
"Arachis hypogaea var. hypogaea","L.",NA
"Arachis hypogaea var. fastigiata","L.","Waldron"
"Arachis hypogaea var. vulgaris","L.","Harz"
"Arachis hypogaea var. peruviana","L.","Krapov. & W.C.Greg."
"Albizia duckeana","L.Rico",NA
"Indigofera guaranitica","Hassl.",NA
"Indigofera spicata","Forssk.",NA
"Indigofera truxillensis","Kunth",NA
"Mimosa regnellii var. regnellii","Benth.",NA
"Vachellia farnesiana","(L.) Wight & Arn.",NA
"Coursetia hassleri","Chodat",NA
"Galactia latisiliqua","Desv.",NA
"Rudolphia",NA,NA
"Eperua grandiflora subsp. grandiflora","(Aubl.) Benth.",NA
"Stryphnodendron pumilum","Glaz.",NA
"Eperua jenmanii subsp. sandwithii","Oliv.","R.S.Cowan"
"Dolichopsis",NA,NA
"Dolichopsis paraguariensis","(Benth.) Hassl.",NA
"Copaifera depilis","Dwyer",NA
"Copaifera langsdorffii var. langsdorffii","Desf.",NA
"Copaifera langsdorffii var. glabra","Desf.","(Vogel) Benth."
"Copaifera langsdorffii var. grandifolia","Desf.","Benth."
"Copaifera magnifolia","Dwyer",NA
"Stylosanthes vallsii","Sousa Costa & Van den Berg",NA
"Copaifera martii var. rigida","Hayne","(Benth.) Ducke"
"Deguelia amazonica","Killip",NA
"Deguelia utilis","(A.C.Sm.) A.M.G.Azevedo",NA
"Heterostemon mimosoides var. coriaceus","Desf.","Benth."
"Copaifera oblongifolia var. oblongifolia","Mart. ex Hayne",NA
"Copaifera sabulicola","J.Costa & L.P.Queiroz",NA
"Copaifera martii var. martii","Hayne",NA
"Rhynchosia diversifolia var. diversifolia","Micheli",NA
"Rhynchosia diversifolia var. prostrata","Micheli","Burkart"
"Rhynchosia senna var. senna","Gillies ex Hook.",NA
"Rhynchosia senna var. texana","Gillies ex Hook.","(Torr. & A.Gray) M.C.Johnst."
"Rhynchosia balansae","Micheli",NA
"Rhynchosia balansae var. balansae","Micheli",NA
"Myrocarpus venezuelensis","Rudd",NA
"Galactia bullata","(Benth.) Taub.",NA
"Galactia martii var. martii","DC.",NA
"Galactia pretiosa var. trifoliolata","Burkart","(Hassl.) Burkart"
"Harpalyce brasiliana var. sericea","Benth.","Arroyo"
"Macroptilium gibbosifolium","(Ortega) A. Delgado",NA
"Inga lopadadenia","Harms",NA
"Dioclea scabra var. scabra","(Rich.) R.H.Maxwell",NA
"Ormosia williamsii","Rudd",NA
"Desmodium incanum","(Sw.) DC.",NA
"Calliandra glomerulata var. glomerulata","H.Karst.",NA
"Calliandra trinervia var. stenocylix","Benth.","Barneby"
"Clitoria amazonum var. vulgaris","Mart. ex Benth.","Fantz"
"Clitoria epetiolata var. angustissima","Burkart","Fantz"
"Clitoria javitensis var. grandifolia","(Kunth) Benth.","(Ducke) Fantz"
"Bocoa ratteri","H.E.Ireland",NA
"Ormosia froesii","Rudd",NA
"Centrosema acutifolium","Benth.",NA
"Centrosema macranthum","Hoehne",NA
"Macrolobium flexuosum var. flexuosum","Spruce ex Benth.",NA
"Macrolobium flexuosum var. parviflorum","Spruce ex Benth.","(Ducke) R.S.Cowan"
"Macrolobium molle","(Benth.) R.S.Cowan",NA
"Macrolobium urupaense","Hoehne",NA
"Macrolobium canaliculatum var. canaliculatum","Spruce ex Benth.",NA
"Vigna juruana","(Harms) Verdc.",NA
"Chamaecrista curvifolia","(Vogel) Afr.Fern. & E.P.Nunes",NA
"Chamaecrista langsdorffii","(Kunth ex Vogel) Britton ex Pittier",NA
"Macrolobium savannarum","R.S.Cowan",NA
"Macrolobium gracile var. machadoense","Spruce ex Benth.","R.S.Cowan"
"Macrolobium gracile var. gracile","Spruce ex Benth.",NA
"Clitoria amazonum var. amazonum","Mart. ex Benth.",NA
"Clitoria coriacea","Schery",NA
"Clitoria epetiolata var. latiuscula","Burkart","Burkart"
"Clitoria leptostachya var. leptostachya","Benth.",NA
"Clitoria sagotii","Fantz",NA
"Clitoria sagotii var. sprucei","Fantz","Fantz"
"Clitoria stipularis var. stipularis","Benth.",NA
"Mimosa acutistipula var. acutistipula","(Mart.) Benth.",NA
"Mimosa acutistipula var. ferrea","(Mart.) Benth.","Barneby"
"Mimosa microcephala var. cataractae","Humb. & Bonpl. ex Willd.","(Ducke) Barneby"
"Mimosa microcephala var. lumaria","Humb. & Bonpl. ex Willd.","Barneby"
"Mimosa microcephala var. communis","Humb. & Bonpl. ex Willd.","Barneby"
"Macrolobium venulosum","Benth.",NA
"Peltogyne venosa subsp. venosa","(Vahl) Benth.",NA
"Peltogyne venosa subsp. densiflora","(Vahl) Benth.","(Spruce ex Benth.) M.F.Silva"
"Peltogyne paniculata subsp. paniculata","Benth.",NA
"Mimosa iperoensis var. iperoensis","Hoehne",NA
"Desmanthus tatuhyensis var. tatuhyensis","Hoehne",NA
"Entada polystachya var. polystachya","(L.) DC.",NA
"Copaifera arenicola","(Ducke) J.Costa & L.P.Queiroz",NA
"Mimosa morroensis","Barneby",NA
"Pityrocarpa",NA,NA
"Pityrocarpa moniliformis","(Benth.) Luckow & R.W.Jobson",NA
"Pityrocarpa obliqua","(Pers.) Brenan",NA
"Pityrocarpa obliqua subsp. brasiliensis","(Pers.) Brenan","(G.P.Lewis) Luckow & R.W.Jobson"
"Mimosa oblonga var. oblonga","Benth.",NA
"Mimosa oblonga var. pinetorum","Benth.","Barneby"
"Mimosa sensibilis var. urucumensis","Griseb.","Barneby"
"Zapoteca formosa","(Kunth) H.M.Hern.",NA
"Zapoteca scutellifera","(Benth.) H.M.Hern.",NA
"Dahlstedtia pentaphylla","(Taub.) Burkart",NA
"Senegalia rhytidocarpa","(L.Rico) Seigler & Ebinger",NA
"Mimosa myriadenia var. dispersa","(Benth.) Benth.","Barneby"
"Mimosa insignis","(Hassl.) Barneby",NA
"Mimosa glutinosa","Malme",NA
"Mimosa corynadenia","Britton & Rose",NA
"Mimosa intricata","Benth.",NA
"Mimosa bonplandii","(Hook. & Arn.) Benth.",NA
"Mimosa surumuënsis","Harms",NA
"Mimosa orinocoensis","Barneby",NA
"Mimosa chartostegia","Barneby",NA
"Mimosa parvipinna","Benth.",NA
"Mimosa ramboi","Burkart",NA
"Mimosa fonticola","Barneby",NA
"Mimosa lasiocephala","Benth.",NA
"Mimosa diffusa","Benth.",NA
"Swartzia picta var. picta","Benth.",NA
"Swartzia picta var. bolivarensis","Benth.","R.S.Cowan"
"Sellocharis",NA,NA
"Sellocharis paradoxa","Taub.",NA
"Ornithopus",NA,NA
"Ornithopus micranthus","(Benth.) Arechav.",NA
"Parkia barnebyana","H.C.Hopkins",NA
"Senegalia rostrata","(Humb. & Bonpl. ex Willd.) Seigler & Ebinger",NA
"Vigna trichocarpa","(C.Wright ex Sauvalle) A.Delgado",NA
"Abarema leucophylla var. leucophylla","(Spruce ex Benth.) Barneby & J.W.Grimes",NA
"Camptosema scarlatinum var. scarlatinum","(Mart. ex Benth.) Burkart",NA
"Camptosema scarlatinum var. pohlianum","(Mart. ex Benth.) Burkart","(Benth.) Burkart"
"Camptosema scarlatinum var. pubescens","(Mart. ex Benth.) Burkart","(Micheli) Burkart"
"Camptosema scarlatinum var. calycina","(Mart. ex Benth.) Burkart","Benth."
"Gliricidia",NA,NA
"Gliricidia sepium","(Jacq.) Kunth ex Walp.",NA
"Neonotonia",NA,NA
"Neonotonia wightii","(Graham ex Wight & Arn.) J.A.Lackey",NA
"Glycine",NA,NA
"Alysicarpus",NA,NA
"Alysicarpus vaginalis","(L.) DC.",NA
"Hedysarum",NA,NA
"Ormosia limae","D.B.O.S.Cardoso & L.P.Queiroz",NA
"Ulex",NA,NA
"Ulex europaeus","L.",NA
"Melilotus",NA,NA
"Melilotus albus","Medik.",NA
"Melilotus indicus","(L.) All.",NA
"Senna catingae","(Harms) L.P.Queiroz",NA
"Macrolobium microcalyx var. microcalyx","Ducke",NA
"Senna hirsuta var. streptocarpa","(L.) H.S.Irwin & Barneby","H.S.Irwin & Barneby"
"Aldina microphylla","M.Yu.Gontsch. & Yakovlev",NA
"Poeppigia procera var. conferta","C.Presl","Benth."
"Poeppigia procera var. procera","C.Presl",NA
"Vachellia caven","(Molina) Seigler & Ebinger",NA
"Zapoteca formosa subsp. formosa","(Kunth) H.M.Hern.",NA
"Stryphnodendron guianense subsp. glandulosum","(Aubl.) Benth.","Forero"
"Tabaroa",NA,NA
"Tabaroa caatingicola","L.P.Queiroz, G.P.Lewis & M.F.Wojc.",NA
"Mimosa kalunga","M.F. Simon & C.E. Hughes",NA
"Mimosa viperina","M.F. Simon & C.E. Hughes",NA
"Mimosa diminuta","M.F. Simon & C.E. Hughes",NA
"Machaerium debile","(Vell.) Stellfeld",NA
"Machaerium jobimianum","C.V.Mendonça & A.M.G.Azevedo",NA
"Leptolobium araguaiense","Sch.Rodr. & A.M.G.Azevedo",NA
"Crotalaria goreensis","Guill. et Perro",NA
"Adesmia sessilifolia","Iganci & Miotto",NA
"Stylosanthes rostrata","(Burkart) Vanni",NA
"Machaerium macrophyllum var. macrophyllum","Benth.",NA
"Vachellia ibirocayensis","(Marchiori) Deble & Marchiori",NA
"Crotalaria longirostrata","Hooker et Arn.",NA
"Crotalaria ochroleuca","G. Don",NA
"Leptolobium multijugum","Sch.Rodr. & A.M.G.Azevedo",NA
"Vicia hatschbachii","Burkart ex Vanni & Kurtz",NA
"Mimosa tocantina","Taub.",NA
"Machaerium quinata var. quinata","(Aubl.) Sandwith",NA
"Machaerium quinata var. parviflorum","(Aubl.) Sandwith","(Benth.) Rudd"
"Desmodium album","(Schindl.) J.F. Macbr.",NA
"Desmodium riedelii","(Schindl.) Burkart",NA
"Desmodium subsecundum","Vogel",NA
"Mimosa candollei","R.Grether",NA
"Mimosa cuiabensis","L.Rico & R.Grether",NA
"Zornia vichadana","(Mohlenbr.) Fort.-Perez & A.M.G.Azevedo",NA
"Stryphnodendron guianense subsp. guianense","(Aubl.) Benth.",NA
"Clitoria guianensis var. reflexa","(Aubl.) Benth.","Fantz"
"Meibomia",NA,NA
"Arachis kempff-mercadoi","Krapov., W.C.Greg . & C.E.Simpson",NA
"Machaerium floribundum var. floribundum","Benth.",NA
"Calliandra paganuccii","E.R. Souza",NA
"Mimosa adpressa","Hook. & Arn.",NA
"Mimosa balansae","Micheli",NA
"Mimosa berroi","Burkart",NA
"Mimosa bifurca","Benth.",NA
"Mimosa bifurca var. bifurca","Benth.",NA
"Mimosa bifurca var. reducta","Benth.","(Hassler) Barneby"
"Mimosa bifurca var. desmantioides","Benth.","(Hoehne) Barneby"
"Mimosa bracteolaris","Benth.",NA
"Mimosa tucumensis","Barneby ex O.S.Ribas, M.Morales & J.Santos-Silva",NA
"Mimosa dasilvae","A.S.Silva & R.Secco",NA
"Mimosa brevipetiolata","Burkart",NA
"Mimosa brevipetiolata var. hirtula","Burkart","(Burkart) Barneby"
"Mimosa implexa","Benth.",NA
"Mimosa reptans","Benth.",NA
"Mimosa brevipetiolata var. pauperoides","Burkart","(Burkart) Barneby"
"Mimosa myrioglandulosa","V. F. Dutra & F. C. P. Garcia",NA
"Mimosa trinerva","V. F. Dutra & F. C. P. Garcia",NA
"Mimosa foliolosa var. grandibractea","Benth.","V. F. Dutra & F. C. P. Garcia"
"Mimosa roseoalba","Sav.-Cout. & G. P. Lewis",NA
"Mimosa urandiensis","J.Santos-Silva, M.F.Simon & A.M.G.Azevedo",NA
"Prosopis affinis","Spreng.",NA
"Prosopis nigra","Hiron.",NA
"Senegalia paganuccii","Seigler, Ebinger & Ribeiro",NA
"Mucuna elliptica","(Riuiz & Pav.) DC.",NA
"Mucuna analuciana","T.M. Moura, V.F. Mansano & A.M.G. Azevedo",NA
"Mimosa mitzi","V. F. Dutra & F. C. P. Garcia",NA
"Mimosa rubra","V.F. Dutra & F.C.P. Garcia",NA
"Mimosa longistipula","V.F. Dutra & F.C.P. Garcia",NA
"Deguelia spruceana","(Benth.) A.M.G.Azevedo & R.A.Camargo",NA
"Deguelia urucu","(Killip & A.C.Sm.) A.M.G.Azevedo & R.A.Camargo",NA
"Deguelia rariflora","(Mart. ex Benth.) G.P.Lewis & Acev.-Rodr.",NA
"Deguelia angulata","(Ducke) A.M.G.Azevedo & R.A.Camargo",NA
"Staminodianthus",NA,NA
"Schnella",NA,NA
"Arachis sesquijuga","Valls, L.C.Costa & Custodio",NA
"Mimosa sobralii","Grings & O.S. Ribas",NA
"Mimosa eurystegia","Barneby ex M. Morales, O. S. Ribas & J. Santos-Sil",NA
"Staminodianthus racemosus","(Hoehne) D.B.O.S.Cardoso & H.C.Lima",NA
"Staminodianthus rosae","(H.C.Lima) D.B.O.S.Cardoso & H.C.Lima",NA
"Staminodianthus duckei","(Yakovlev) D.B.O.S.Cardoso & H.C.Lima",NA
"Panurea bowdichioides","C.H.Stirt. ex Povydysh & M.Yu.Gontsch.",NA
"Machaerium androvillosum","Filardi & H.C.Lima",NA
"Machaerium aureum","Filardi & H.C.Lima",NA
"Machaerium robsonnianum","Filardi & H.C.Lima",NA
"Moldenhawera intermedia","G.P.Lewis & L.P.Queiroz",NA
"Mimosa debilis var. angusta","Humb. & Bonpl. ex Willd.","(Benth.) M. Morales & Fortunato"
"Mimosa sensibilis var. sensibilis","Griseb.",NA
"Mimosa sensibilis var. aquidabani","Griseb.","Barneby"
"Senegalia amorimii","M. J. F. Barros & M. P. Morim",NA
"Senegalia grazielae","M. J. F. Barros & M. P. Morim",NA
"Senegalia hoehnei","Seigler, M. P. Morim, M. J. F. Barros & Ebinger",NA
"Swartzia alagoensis","R. B. Pinto, Torke & Mansano",NA
"Swartzia arenophila","R. B. Pinto, Torke & Mansano",NA
"Swartzia revoluta","R. B. Pinto, Torke & Mansano",NA
"Swartzia submontana","R. B. Pinto, Torke & Mansano",NA
"Swartzia thomasii","R. B. Pinto, Torke & Mansano",NA
"Swartzia arumateuana","(R. S. Cowan) Torke & Mansano",NA
"Swartzia prancei","Torke & Mansano",NA
"Swartzia rondoniensis","Torke & Mansano",NA
"Swartzia lanata","Torke & Mansano",NA
"Swartzia rugosa","Torke & Mansano",NA
"Hymenaea longifolia","(Benth.) I.M.Souza, Funch & L.P.Queiroz",NA
"Mimosa chrysothrix","V.F.Dutra & F.C.P.Garcia",NA
"Mimosa canastrensis","V.F.Dutra & F.C.P.Garcia",NA
"Mimosa decumbens","V.F. Dutra & F.C.P. Garcia",NA
"Chamaecrista frondosa","M.J. Silva & A.O. Souza",NA
"Chamaecrista latifolia","(Benth.) Rando",NA
"Chamaecrista rossicorum","(H.S. Irwin & Barneby) Rando",NA
"Schnella alata","(Ducke) Wunderlin",NA
"Schnella angulosa","(Vogel) Wunderlin",NA
"Schnella carvalhoi","(Vaz) Wunderlin",NA
"Schnella confertiflora","(Benth.) Wunderlin",NA
"Schnella erythrantha","(Duke) Wunderlin",NA
"Schnella flexuosa","(Moric.) Walp.",NA
"Schnella glabra","(Jacq.) Dugand",NA
"Schnella grazielae","(Vaz) Wunderlin",NA
"Schnella klugii","(Standl.) Wunderlin",NA
"Schnella kunthiana","(Vogel) Wunderlin",NA
"Schnella longiseta","(Fróes) Wunderlin",NA
"Schnella maximiliani","(Benth.) Wunderlin",NA
"Schnella microstachya","Raddi",NA
"Schnella outimouta","(Aubl.) Wunderlin",NA
"Schnella platycalyx","(Benth.) Wunderlin",NA
"Schnella porphyrotricha","(Harms) Wunderlin",NA
"Schnella pterocalyx","(Ducke) Wunderlin",NA
"Schnella macrostachya","Raddi",NA
"Schnella riedeliana","(Bong.) Wunderlin",NA
"Schnella siqueiraei","(Ducke) Wunderlin",NA
"Schnella smilacina","(Schott ex Spreng.) G.Don",NA
"Schnella splendens","(Kunth) Benth.",NA
"Schnella sprucei","(Benth.) Wunderlin",NA
"Schnella trichosepala","(Queiroz) Wunderlin",NA
"Schnella uleana","(Harms) Wunderlin",NA
"Schnella coronata","(Benth.) Pittier",NA
"Schnella anamesa","(J.F. Macbr.) Wunderlin",NA
"Luetzelburgia guianensis","D.B.O.S.Cardoso, L.P.Queiroz & H.C.Lima",NA
"Aldina kunhardtiana","R.S.Cowan",NA
"Muellera amazonica","M.Souza",NA
"Muellera denudata","(Benth.) M.Souza",NA
"Muellera sericea","(Micheli) M.J. Silva & A.M.G. Azevedo",NA
"Campsiandra macrocarpa","R.S. Cowan",NA
"Campsiandra macrocarpa var. alveolata","R.S. Cowan","Stergios"
"Campsiandra gomez-alvareziana var. gomez-alvareziana","Stergios",NA
"Schnella poiteauana","(Vogel) Wnderlin",NA
"Schnella rutilans","(Spruce ex Benth.) Pittier",NA
"Mimosa perplicata","L.M. Borges",NA
"Mimosa serpensetosa","L.M. Borges",NA
"Senegalia irwinii","Seigler, Ebinger, & P.G. Ribeiro",NA
"Senegalia harleyi","Seigler, Ebinger, & P.G. Ribeiro",NA
"Senegalia hatschbachii","Seigler,Ebinger & P. G. Ribeiro",NA
"Muellera virgilioides","(Vogel) M.J. Silva & A.M.G. Azevedo",NA
"Muellera torrensis","(N. Mattos) M.J.Silva & A.M.G.Azevedo",NA
"Limadendron",NA,NA
"Limadendron amazonicum","(Ducke) Meireles & A.M.G.Azevedo",NA
"Limadendron hostmannii","(Benth.) Meireles & A.M.G.Azevedo",NA
"Poecilanthe fluminensis","Meireles & H.C.Lima",NA
"Ormosia altimontana","Meireles & H.C.Lima",NA
"Muellera tozziana","M. J. Silva",NA
"Muellera campestris","(Mart. ex Benth.) M.J. Silva & A.M.G. Azevedo",NA
"Muellera filipes","(Benth.) M.J. Silva & A.M.G. Azevedo",NA
"Muellera graciliflora","(M.J. Silva et al.) M.J. Silva & A.M.G. Azevedo",NA
"Muellera grazielae","(M.J. Silva et al.) M.J. Silva & A.M.G. Azevedo",NA
"Muellera laticifera","(M.J. Silva et al.) M.J. Silva & A.M.G. Azevedo",NA
"Muellera variabilis","(RR.Silva & AMG.Azevedo) MJ.Silva & AMG.Azevedo",NA
"Muellera obtusa","(Benth.) M.J. Silva & A.M.G. Azevedo",NA
"Muellera nudiflora","(Burkart) M.J. Silva & A.M.G. Azevedo",NA
"Muellera montana","(MJ.Silva & AMG.Azevedo) MJ.Silva & AMG.Azevedo",NA
"Muellera monilis","(L.) M.J. Silva & A.M.G. Azevedo",NA
"Senegalia incerta","(Hoehne) Seigler & Ebinger",NA
"Ormosia lewisii","D.B.O.S.Cardoso, C.H.Stirt. & Torke",NA
"Mimosa diversipila","M. Micheli",NA
"Mimosa diversipila var. diversipila","M. Micheli",NA
"Mimosa fernandez-casassi","Barneby &Fortunato",NA
"Mimosa lupinoides","Chodat & Hassl.",NA
"Muellera longiunguiculata","(MJ.Silva & AMG.Azevedo) MJ.Silva & AMG.Azevedo",NA
"Microlobius foetidus subsp. paraguensis","(Jacq.) M.Sousa & G.Andrade","(Benth.)M . Sousa & G. Andrade"
"Parapiptadenia excelsa","(Griseb.)Burkart",NA
"Muellera fernandesii","M.J. Silva & A.M.G. Azevedo",NA
"Muellera leptobotrys","M.J. Silva & A.M.G. Azevedo",NA
"Muellera nitens","M.J. Silva & A.M.G. Azevedo",NA
"Dahlstedtia dehiscens","M.J Silva & A.M.G. Azevedo",NA
"Dahlstedtia lewisiana","M.J. Silva & A.M.G. Azevedo",NA
"Dahlstedtia araripensis","(Benth.) M.J. Silva & A.M.G. Azevedo",NA
"Dahlstedtia bahiana","(A.M.G. Azevedo) M.J. Silva & A.M.G. Azevedo",NA
"Dahlstedtia castaneifolia","(MJ.Silva & AMG.Azevedo) MJ.Silva & AMG.Azevedo",NA
"Dahlstedtia floribunda","(Vogel) M.J. Silva & A.M.G. Azevedo",NA
"Dahlstedtia glaziovii","(Taub.) M.J. Silva & A.M.G. Azevedo",NA
"Dahlstedtia grandiflora","(A.M.G. Azevedo) M.J. Silva & A.M.G. Azevedo",NA
"Dahlstedtia muehlbergiana","(Hassl.) M.J.Silva & A.M.G. Azevedo",NA
"Dahlstedtia peckoltii","(Wawra) M.J. Silva & A.M.G. Azevedo",NA
"Lonchocarpus macrocarpus","Benth.",NA
"Prosopis rubriflora","Hassler",NA
"Mimosa obstrigosa","Burkart",NA
"Mimosa sceptrum","Barneby",NA
"Mimosa uninervis","(Chodat & Hassler) Hassler",NA
"Mimosa uraguensis","Hook.&Arnott",NA
"Piptadenia fruticosa","Benth.",NA
"Lonchocarpus violaceus","(Jacq.) Kunth ex DC.",NA
"Lonchocarpus pluvialis","Rusby",NA
"Deguelia nitidula","(Benth.) A.M.G.Azevedo & R.A.Camargo",NA
"Phaseolus vulgaris","L.",NA
"Zornia contorta","Mohlenbr.",NA
"Leptospron",NA,NA
"Leptospron adenanthum","(G. Mey.) A. Delgado",NA
"Condylostylis",NA,NA
"Dimorphandra macrostachya subsp. congestiflora","Benth.","(Spague & Sandwith) M.F. da Silva"
"Condylostylis candida","(Vell.) A. Delgado",NA
"Ancistrotropis",NA,NA
"Ancistrotropis firmula","(Mart. ex Benth.) A. Delgado",NA
"Ancistrotropis peduncularis","(Kunth) A. Delgado",NA
"Ancistrotropis robusta","(Piper) A. Delgado",NA
"Ancistrotropis serrana","Snak, J.L.A.Moreira & A.M.G.Azevedo",NA
"Cochliasanthus",NA,NA
"Cochliasanthus caracalla","(L.) Trew",NA
"Helicotropis",NA,NA
"Helicotropis hookeri","(Verdc.) A. Delgado",NA
"Helicotropis linearis","(Kunth) A. Delgado",NA
"Sigmoidotropis",NA,NA
"Sigmoidotropis speciosa","(Kunth) A. Delgado",NA
"Jacqueshuberia amplifolia","R.S. Cowan",NA
"Paloue induta subsp. glabra","Sandwith","W. Rodrigues & H.C. Lima"
"Peltogyne catingae subsp. catingae","Ducke",NA
"Peltogyne catingae subsp. glabra","Ducke","(W.A. Rodrigues) M.F. Silva"
"Peltogyne parvifolia","Spruce ex Benth.",NA
"Peltogyne parvifolia var. parvifolia","Spruce ex Benth.",NA
"Peltogyne parvifolia var. glabra","Spruce ex Benth.","M.F. Slva"
"Chamaecrista truncata","Rando & Pirani",NA
"Tachigali acrensis","van deWerff",NA
